View Name	View Description	View Version	Status Date
PHLIP ETOR Salmonella	PHLIP ETOR Salmonella	3	09/06/2011 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Original Specimen Type Modifier PHLIP	PHVS_OrigSpecimenTypeMod_PHLIP	2.16.840.1.11222.4.11.5025	1	describes the specimen type further than the specimen tyoe terms, drawn from SNOMED qualifier hierarchy for now	Published	08/30/2011	for use with ETOR Salmonella phase 1
Original Specimen Type PHLIP	PHVS_OrigSpecimenType_PHLIP	2.16.840.1.114222.4.11.5024	1	describes the specimentype using SNOMED CT specimen hierarchy terms	Published	08/30/2011	for use with ETOR Salmonella phase 1
Problem Goal Action Code (HL7)	PHVS_ProblemGoalActionCode_HL7_2x	2.16.840.1.114222.4.11.6000	1	Problem Goal Action Code (HL7) - HL7 Table 0287	Published	08/31/2011	HL7 V2.7
Processing ID (HL7)	PHVS_ProcessingID_HL7_2x	2.16.840.1.114222.4.11.1028	1	HL7 table 0103 contains values that define whether the message is part of a production, training or debugging system.	Published	10/22/2008	Initial Load VADS 3.0
Race Category	PHVS_RaceCategory_CDC	2.16.840.1.114222.4.11.836	1	General race category reported by the patient - subject may have more than one	Published	10/22/2008	Initial Load VADS 3.0
Result status (HL7)	PHVS_ResultStatus_HL7_2x	2.16.840.1.114222.4.11.815	1	The status of the results. This field is required when the OBR segment is contained in a message.  Uses HL7 2.5 Table 0123-Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Resulted Lab Test Name PHLIP Salmonella	PHVS_ResultedLabTestName_PHLIP_Sal	2.16.840.1.114222.4.11.5017	1	values for OBX.3 drawn from LOINC and PLT codign systems	Published	08/30/2011	for ETOR Salmonella phase 1
Role (PHLIP)	PHVS_Role_PHLIP	2.16.840.1.114222.4.11.5015	1	Used in ROL.3 - extension of HL70403	Published	05/11/2011	starter set for ETOR
Source of Comment (HL7)	PHVS_SourceOfComment_HL7_2x	2.16.840.1.114222.4.11.3014	1	HL7 version 2.5 Table 0105 - Source of Comment.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Reject Reason (SCT) (PHLIP)	PHVS_SpecimenRejectReason (SCT) PHLIP	2.16.840.1.114222.4.11.5004	1		Published	06/02/2011	ETOR starter set
Specimen Related Observations (PHLIP Sal)	PHVS_SpecimenRelObs_PHLIP_Sal	2.16.840.1.114222.4.11.5007	1		Published	06/02/2011	ETOR starter set
Specimen Type PHLIP	PHVS_SpecimenType_PHLIP	2.16.840.1.114222.4.11.5001	1	describes the specimen type submitted using SNOMED CT specimen hierarchy terms	Published	08/30/2011	for use with ETOR Salmonella phase 1
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Suspected Agent (PHLIP Sal)	PHVS_SuspectedAgent_PHLIP_Sal	2.16.840.1.114222.4.11.5013	1		Published	06/02/2011	ETOR starter set
Telecommunication Equipment Type (HL7)	PHVS_TelecommunicationEquipmentType_HL7_2x	2.16.840.1.114222.4.11.817	1	HL7 table 0202 contains a list of types of telecommunication equipment	Published	06/14/2018	Initial Load VADS 3.0
Telecommunication Use Code (HL7)	PHVS_TelecommunicationUseCode_HL7_2x	2.16.840.1.114222.4.11.818	1	HL7 table 0201 contains a list that represents a specific use of a telecommunication number	Published	06/14/2018	Initial Load VADS 3.0
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	1	Units of Measure based on UCUM std which also includes dimension	Published	03/20/2024	Initial Load VADS 3.0
Universal Identifier (HL7) (PHLIP)	PHVS_UniversalIdentiferType_PHLIP	2.16.840.1.114222.4.11.5000	2		Published	06/02/2011	for Salmonella ETOR phase 1
Value Type (HL7) (PHLIP)	PHVS_ValueType_PHLIP	2.16.840.1.114222.4.11.5006	1		Published	06/02/2011	starterset for ETOR
Yes No Indicator (HL7)	PHVS_YesNo_HL7_2x	2.16.840.1.114222.4.11.819	1	Value set used to respond to any question that can be answered only Yes or No. This value set is also HL7 table 0136 Yes/No Indicator.	Published	10/01/2019	Initial Load VADS 3.0
