View Name	View Description	View Version	Status Date
Lab Result Generic	The vocabulary used for the Unsolicited Specimen-Oriented Laboratory Observation message that is available in the Historical Archives.	4	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Production Class (HL7)	PHVS_ProductionClass_HL7_2x	2.16.840.1.114222.4.11.812	1	User-defined table 0429 contains the code and description that indicates the primary use for which the living subject was bred or grown.	Published	10/22/2008	Initial Load VADS 3.0
Race Category	PHVS_RaceCategory_CDC	2.16.840.1.114222.4.11.836	1	General race category reported by the patient - subject may have more than one	Published	10/22/2008	Initial Load VADS 3.0
Relationship (HL7)	PHVS_Relationship_HL7_2x	2.16.840.1.114222.4.11.813	1	Relationship codes as specified by HL7.
v2: Added 'Household' concept	Published	08/12/2015	Initial Load VADS 3.0
Result status (HL7)	PHVS_ResultStatus_HL7_2x	2.16.840.1.114222.4.11.815	1	The status of the results. This field is required when the OBR segment is contained in a message.  Uses HL7 2.5 Table 0123-Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Specimen	PHVS_Specimen_CDC	2.16.840.1.114222.4.11.946	4	Specimen based on SNOMED hierarchy (123038009) Keyword: Specimen Source, Specimen Type	Published	11/07/2024	SNOMED Update 01/31/2010
Specimen Additive or Preservative (HL7)	PHVS_AdditiveOrPreservative_HL7_2x	2.16.840.1.114222.4.11.960	1	HL7 version 2.5 Table 0371 Additive/Preservative codes.  Information regarding any substances added to the specimen before or at the time of specimen collection.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Appropriateness (HL7)	PHVS_SpecimenAppropriateness_HL7_2x	2.16.840.1.114222.4.11.1039	1	The suitability of the specimen for the particular planned use as determined by the filler.  Refer to User-defined Table 0492   Specimen Appropriateness	Published	10/22/2008	Initial Load VADS 3.0
Specimen Child Role (HL7)	PHVS_SpecimenChildRole_HL7_2x	2.16.840.1.114222.4.11.1040	1	For child specimens, this field identifies the relationship between this specimen and the parent specimen.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Collection Method (HL7)	PHVS_SpecimenCollectionMethod_HL7_2x	2.16.840.1.114222.4.11.1041	1	Describes the procedure or process by which the specimen was collected. Any nationally recognized coding system might be used for this field including SNOMED; alternatively the HL7 defined table 0488 may be used	Published	10/22/2008	Initial Load VADS 3.0
