View Name	View Description	View Version	Status Date
Public Health Case Reporting (CDA)	Vocabulary associated with Public Health Case Reporting (PHCR) CDAR2 DSTU Implementation Guide. The scope of this IG includes four disease-specific case reports: Anthrax, Acute Hepatitis B, Tuberculosis, and Tularemia.	3	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Result Name (Acute Hepatitis B)	PHVS_LabTestResultName_AcuteHepatitisB	2.16.840.1.114222.4.11.3206	1	Acute Hepatitis B lab test result name value set  is based upon the Lab LOINC concepts that are defined in the CSTE standardized reporting definition for Acute Hepatitis B.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Lab Test Result Name (Anthrax)	PHVS_LabTestResultName_Anthrax	2.16.840.1.114222.4.11.3207	1	Anthrax lab test result name value set is based upon the Lab LOINC concepts that are defined in the CSTE standardized reporting definition for Anthrax.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Lab Test Result Name (TB)	PHVS_LabTestResultName_TB	2.16.840.1.114222.4.11.3205	1	Tuberculosis lab test result name value set is based upon the Lab LOINC concepts that are defined in the CSTE standardized reporting definition for Tuberculosis.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Lab Test Result Name (Tularemia)	PHVS_LabTestResultName_Tularemia	2.16.840.1.114222.4.11.3208	1	Tularemia lab test result name value set is based upon the Lab LOINC concepts that are defined in the CSTE standardized reporting definition for Tularemia.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Location performing blood or body fluid exposure procedure 	PHVS_LocationPerformingBBFExposureProcedure_CDC	2.16.840.1.114222.4.11.3227	1	Service delivery locations that may perform the procedure on human body involving blood or body fluid. This value set is based upon the HL7 V3 vocabulary.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Material exposure type	PHVS_MaterialExposureType_CDC	2.16.840.1.114222.4.11.3211	2	Types of exposure related to material such as suspicious mail and powder including animal material. This value set is primarily based upon SNOMED CT Material (260769002) hierarchy.	Published	07/07/2009	Updated based on SNOMED 1/31/2010 Release
Medication Route FDA Value Set	PHVS_MedicationRoute_FDA	2.16.840.1.113883.3.88.12.3221.8.7	1	Route of Administration value set is based upon FDA Drug Registration and Listing Database (FDA Orange Book) which are used in FDA structured product and labelling (SPL).	Published	09/15/2014	CDA Public Health Case Report New Value Set
Medication Treatment (Anthrax)	PHVS_MedicationTreatment_Anthrax	2.16.840.1.114222.4.11.3216	1	Anthrax treatment value set has medication concepts used to treat anthrax.  This is based upon the FDA Unique Ingredient Identifier (UNII).	Published	07/07/2009	CDA Public Health Case Report New Value Set
Medication Treatment (TB)	PHVS_MedicationTreatment_TB	2.16.840.1.114222.4.11.3218	1	Tuberculosis treatment value set has medication concepts used to treat tuberculosis.  This is based upon the FDA Unique Ingredient Identifier (UNII).	Published	07/07/2009	CDA Public Health Case Report New Value Set
Medication Treatment (Tularemia)	PHVS_MedicationTreatment_Tularemia	2.16.840.1.114222.4.11.3217	1	Tularemia treatment value set has medication concepts used to treat tularemia. This is based upon the FDA Unique Ingredient Identifier (UNII).	Published	07/07/2009	CDA Public Health Case Report New Value Set
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	4	Microorganisms/infectious agents	Published	10/28/2024	SNOMED Update 01/31/2010
Non-Laboratory Intervention and Procedure	PHVS_NonLabInterventionProcedure_CDC	2.16.840.1.114222.4.11.3204	2	This value set includes medical and surgical procedures performed on human body. This is based upon the concepts descending from the SNOMED CT Procedures (71388002) hierarchy. This value set does not include administrative billing procedure or laboratory procedure.	Published	07/07/2009	Updated based on SNOMED 1/31/2010 Release
Observation Interpretation (HL7)	PHVS_ObservationInterpretation_HL7_V3	2.16.840.1.113883.1.11.78	1	Observation interpretation concepts that are based upon HL7 V3 vocabulary.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Occupation	PHVS_Occupation_CDC	2.16.840.1.114222.4.11.887	1	Occupations or job codes	Published	10/22/2008	Initial Load VADS 3.0
Race Value Set	PHVS_Race_HL7_V3	2.16.840.1.113883.1.11.14914	1	Concepts in the race value set include the OMB minimum categories, 5 races, along with a sixth race category, Other race, and a more detailed set of race categories used by the Bureau of Census. 	Published	07/07/2009	CDA Public Health Case Report New Value Set
Signs and Symptoms (Acute Hepatitis B)	PHVS_SignsSymptoms_AcuteHepatitisB	2.16.840.1.114222.4.11.3213	1	Acute Hepatitis B Signs and Symptoms value set  is primarily based upon the SNOMED concepts that are defined in the CSTE standardized reporting definition for Acute Hepatitis B.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Signs and Symptoms (Anthrax)	PHVS_SignsSymptoms_Anthrax	2.16.840.1.114222.4.11.3212	1	Anthrax Signs and Symptoms value set  is primarily based upon the SNOMED concepts that are defined in the CSTE standardized reporting definition for Anthrax.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Signs and Symptoms (TB)	PHVS_SignsSymptoms_TB	2.16.840.1.114222.4.11.3214	1	Tuberculosis Signs and Symptoms value set  is primarily based upon the SNOMED concepts that are defined in the CSTE standardized reporting definition for Tuberculosis	Published	07/07/2009	CDA Public Health Case Report New Value Set
Signs and Symptoms (Tularemia)	PHVS_SignsSymptoms_Tularemia	2.16.840.1.114222.4.11.3215	1	Tularemia Signs and Symptoms value set  is primarily based upon the SNOMED concepts that are defined in the CSTE standardized reporting definition for Anthrax	Published	07/07/2009	CDA Public Health Case Report New Value Set
Sociobehavioral risk factor	PHVS_SocioBehavioralRiskFactor_CDC	2.16.840.1.114222.4.11.3228	1	Socio-behavioral risk factor related to infectious disease.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Specimen	PHVS_Specimen_CDC	2.16.840.1.114222.4.11.946	4	Specimen based on SNOMED hierarchy (123038009) Keyword: Specimen Source, Specimen Type	Published	11/07/2024	SNOMED Update 01/31/2010
Treatment status	PHVS_TreatmentStatus_CDC	2.16.840.1.114222.4.11.3203	1	Treatment (medication) status value set includes concepts such as active and on hold	Published	07/07/2009	CDA Public Health Case Report New Value Set
Vaccine Administered (Hepatitis B)	PHVS_VaccineAdministered_HepatitisB	2.16.840.1.114222.4.11.3219	1	Hepatitis B vaccine value set has Hepatitis B vaccines. This is based upon the Clinical Vaccines Administered (CVX) vocabulary maintained by CDC.	Published	07/07/2009	CDA Public Health Case Report New Value Set
