View Name	View Description	View Version	Status Date
Tuberculosis and LTBI Case Notification	List of value sets for the set of data elements used to communicate information to meet the requirements for Tuberculosis and LTBI Case Notifications to CDC.	7	06/14/2022 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Reason LTBI Treatment Stopped (TB)	PHVS_ReasonLTBITreatmentStopped_TB	2.16.840.1.114222.4.11.7757	1	Reason LTBI Treatment Stopped	Published	03/01/2018	v1
Reason Not Treated with RIPE (TB)	PHVS_ReasonNotTreatedwithRIPE_TB	2.16.840.1.114222.4.11.7767	3	Reason Not Treated with RIPE	Published	09/11/2018	 Removed "Provider Decision" value and added "Unknown" as a valid value  
Reason Therapy Stopped (TB)	PHVS_ReasonTherapyStopped_TB	2.16.840.1.114222.4.11.1035	3	Primary reason that Tuberculosis therapy was ended	Published	03/14/2018	Added "Adverse Treatment Event" to the value set
Result of Radiology Study (TB)	PHVS_ResultofRadiologyStudy_TB	2.16.840.1.114222.4.11.7746	1	Result of chest diagnostic testing	Published	03/01/2018	v1
Sex (MFU)	PHVS_Sex_MFU	2.16.840.1.114222.4.11.1038	1	Constrained list of sex codes in use by public health. Keyword: Administrative Sex.	Published	12/27/2017	Initial Load VADS 3.0
Side Effect of Treatment (TB)	PHVS_SideEffectofTreatment_TB	2.16.840.1.114222.4.11.7772	1	Side Effect of Treatment.	Published	05/14/2018	v1
Side Effect Time to Onset (TB)	PHVS_SideEffectTimetoOnset_TB	2.16.840.1.114222.4.11.7771	1	Side Effect Time to Onset	Published	03/01/2018	v1
Smoking Status	PHVS_SmokingStatus_CDC	2.16.840.1.114222.4.11.7749	1	What is the patient's current smoking status?	Published	03/01/2018	v1
Sputum Culture Conversion Not Documented Reason	PHVS_SputumCultureConversionNotDocumentedReason_TB	2.16.840.1.114222.4.11.3164	2	The list of reasons for not documenting the sputum culture conversion	Published	10/22/2008	
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Susceptibility Test Interpretation (TB)	PHVS_SusceptibilityTestResultQuantitative_TB	2.16.840.1.114222.4.11.7761	2	Susceptibility Test Interpretation	Published	05/08/2018	Remove "Decreased susceptible" and "Intermediately susceptible"  and add "Not Done" to the value set.
Susceptibility Test Method (TB)	PHVS_SusceptibilityTestMethod_TB	2.16.840.1.114222.4.11.7762	1	Susceptibility Test Method	Published	03/01/2018	v1
Susceptibility Test Type (TB)	PHVS_SusceptibilityTestType_TB	2.16.840.1.114222.4.11.7760	3	Susceptibility Test Type	Published	06/13/2022	v3: Updated to correct Preferred Name for Para-aminosalicylic acid
Therapy Extended Reason (TB)	PHVS_TherapyExtendedReason_TB	2.16.840.1.114222.4.11.3167	3	Answer list for the reason the therapy extended beyond 12 months	Published	10/22/2008	Added Unknown
Treatment Administration Type (TB)	PHVS_TreatmentAdministrationType_TB	2.16.840.1.114222.4.11.7754	1	Treatment Administration Type	Published	03/01/2018	v1
Type of Correctional Facility	PHVS_CorrectionalFacilityType_NND	2.16.840.1.114222.4.11.979	3	Type of correctional facility	Published	09/16/2019	removed duplicate other concept, PHC63
Type of Long Term Care Facility	PHVS_LongTermCareFacilityType_NND	2.16.840.1.114222.4.11.1006	3	Types of long term care facilities	Published	09/16/2019	Removed duplicate other concept, 282E00000X
Type of Radiology Study	PHVS_TypeofRadiologyStudy_CDC	2.16.840.1.114222.4.11.7745	1	Type of chest radiology test completed.	Published	03/01/2018	v1
Unit of Measure (TB)	PHVS_UnitofMeasure_TB	2.16.840.1.114222.4.11.7819	1	Units of measure for the Quantitative Test Result Value	Published	05/09/2018	Units of measure for the Quantitative Test Result Value
Usual Occupation and Industry (TB)	PHVS_UsualOccupationIndustry_TB	2.16.840.1.114222.4.11.7849	2	Patient's usual occupation and industry	Published	06/14/2019	v2  - Value set updated to only include the following values: 
Correctional facility employee
Healthcare worker
Migrant/seasonal worker
Unknown
None

Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
