View Name	View Description	View Version	Status Date
Electronic Laboratory Reporting (ELR) to Public Health - HL7 Version 2.5.1	Electronic Laboratory Reporting (ELR) to Public Health - HL7 Version 2.5.1. This implementation guide has been referenced in the Stage 1 Meaningful Use (MU) measure for Population Health.	8	10/11/2012 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Diagnosis (ICD-9 CM)	PHVS_AdministrativeDiagnosis_CDC_ICD-9CM	2.16.840.1.114222.4.11.856	4	ICD-9 CM Administrative Diagnosis Codes used for billing purposes, Reason for Study, DG1 Diagnosis segments Keyword: ICD-9 Vol 1 & 2.	Published	08/16/2010	ICD-9 CM Diagnosis FY 2012 (Effective Oct 1st 2011) 
Diagnostic service section ID (HL7)	PHVS_DiagnosticServiceSectionID_HL7_2x	2.16.840.1.114222.4.11.922	1	The section of the diagnostic service where the observation was performed.  Uses HL7 2.5 Table 0074 - Diagnostic Service Section ID	Published	10/22/2008	Initial Load VADS 3.0
Discharge Disposition (HL7)	PHVS_DischargeDisposition_HL7_2x	2.16.840.1.114222.4.11.915	1	The disposition of the patient at time of discharge (i.e., discharged to home, expired, etc.). Uses User-defined Table 0112 - Discharge Disposition; this field is used on UB92 FL22.	Published	05/03/2021	Initial Load VADS 3.0
Encoding Type (HL7)	PHVS_Encoding_HL7_2x	2.16.840.1.114222.4.11.986	1	The type of encoding used to represent successive octets of binary data as displayable ASCII characters.  HL7 Table 0299 - Encoding for valid values.	Published	10/22/2008	Initial Load VADS 3.0
Error Severity (HL7)	PHVS_ErrorSeverity_HL7_2x	2.16.840.1.114222.4.11.993	1	Identifies severity of an application error when messaging. Knowing if something is Error, Warning, or Information is intrinsic to how an application handles the content contained in the message. Uses HL7 Table 0516.	Published	06/14/2018	Initial Load VADS 3.0
Ethnic Group (HL7)	PHVS_EthnicGroup_HL7_2x	2.16.840.1.114222.4.11.6066	1	This value set is based upon HL7 table 0189. This has been created for backward compatibility. HL7 has adopted CDC race and ethnicity code system in 2005. CDC recommends to use the Ethnicity group value set based upon CDC Race & Ethnicity code system (Check digit codes)	Published	09/06/2012	Sept 2012
Evaluation Finding	PHVS_EvaluationFinding_CDC	2.16.840.1.114222.4.11.3359	1	Evaluation finding concepts could be used in OBX-5 as lab test result finding. This has been created based upon SNOMED domain (Evaluation Finding - 441742003). Keyword: Lab Test Result. 	Published	08/15/2010	Based upon July 31st 2010 SNOMED version
Event Type (HL7)	PHVS_EventType_HL7_2x	2.16.840.1.114222.4.11.3337	1	HL7 version 2.x Event type used in chapter(s) 2,12; HL7 table 03.	Published	06/14/2018	Initial Import for Event Type
Extended Priority Codes (HL7)	PHVS_ExtendedPriorityCodes_HL7_2x	2.16.840.1.114222.4.11.1024	1	Extended Order Priority	Published	10/22/2008	Initial Load VADS 3.0
Identifier Type	PHVS_IdentifierType_CDC	2.16.840.1.114222.4.11.999	3	Identifier type codes.  Builds on HL7 Table 0203 Identifier Type	Published	10/22/2008	Version 2 content
Identity Reliability Code (HL7)	PHVS_IdentityReliabilityCode_HL7_2x	2.16.840.1.114222.4.11.1000	1	Values used to communicate information about the reliability of the person information transmitted in the message.  This value set draws from User Defined table 0445-Identity Reliability Code.	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Name (Reportable Conditions)	PHVS_LabTestName_ReportableConditions	2.16.840.1.114222.4.11.6053	1	All Reportable Condition Mappping Tables (RCMT) value sets for test names were consolidated into 1 value set.	Published	06/19/2017	Initial Import for : E4A56495-01EB-E111-AE8B-001A4BE7FA90
Lab Test Result (Reportable Conditions)	PHVS_LabTestResult_ReportableConditions	2.16.840.1.114222.4.11.6054	1	All Reportable Condition Mappping Tables (RCMT) value sets for test results were consolidated into 1 value set.	Published	06/03/2016	Initial Import for : B259E1D7-01EB-E111-AE8B-001A4BE7FA90
Lab Test Result Name	PHVS_LabTestName_CDC	2.16.840.1.114222.4.11.1002	4	Laboratory Resulted Test identifiers and names - LOINC is the starter set	Published	03/27/2025	Value set update based on LOINC 2.32 July 2010 release
Language	PHVS_Language_ISO_639-2_Alpha3	2.16.840.1.114222.4.11.831	1	Primary spoken language	Published	06/21/2020	Initial Load VADS 3.0
Marital Status (HL7)	PHVS_MaritalStatus_HL7_2x	2.16.840.1.114222.4.11.809	1	HL7 Table 0002 Marital Status codes	Published	10/22/2008	Initial Load VADS 3.0
Message Error Condition Codes (HL7)	PHVS_MessageErrorConditionCodes_HL7_2x	2.16.840.1.114222.4.11.974	1	Type of error that occurred while processing the message identified in MSA.2	Published	06/14/2018	Initial Load VADS 3.0
Message Structure (HL7)	PHVS_MessageStructure_HL7_2x	2.16.840.1.114222.4.11.3349	1	HL7 version 2.x Message structure used in chapter(s) 2; HL7 table 0354	Published	08/14/2010	HL7 v2.5
Message Type (HL7)	PHVS_MessageType_HL7_2x	2.16.840.1.114222.4.11.3341	1	HL7 version 2.x Message type used in chapter(s) 2; HL7 table 076	Published	08/09/2010	Message Type - HL7 v2.5
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	7	Microorganisms/infectious agents	Published	10/28/2024	jan 31 2012
Modifier or Qualifier	PHVS_ModifierOrQualifier_CDC	2.16.840.1.114222.4.11.1014	5	Qualitatitve codes used for laboratory test results. This uses SNOMED hierarchy (362981000). These codes need to be used appropriately using SNOMED post-coordination rules.	Published	08/13/2010	Update based on July 31st, 2010 SNOMED
