View Name	View Description	View Version	Status Date
HL7 Version 2.5.1 Implementation Guide: Birth & Fetal Death Reporting, R1 DSTU	Covers the provision of birth and fetal death reporting data to the applicable jurisdictional vital records reporting agency within the United States utilizing the HL7 V2.5.1 standard. This is a US realm specification.	3	02/16/2016 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Histological Placental Examination (NCHS)	PHVS_HistologicalPlacentalExamination_NCHS	2.16.840.1.114222.4.11.7138	1	The value set contains the list of values used to indicate whether or not a histological placental examination was performed.	Published	06/28/2013	Initial Import for : 7F5BDE11-37A8-E211-A4E6-0017A477041A
Identifier Type	PHVS_IdentifierType_CDC	2.16.840.1.114222.4.11.999	3	Identifier type codes.  Builds on HL7 Table 0203 Identifier Type	Published	10/22/2008	Version 2 content
Infections During Pregnancy - Live Birth (NCHS)	PHVS_InfectionsDuringPregnancyLiveBirth_NCHS	2.16.840.1.114222.4.11.6070	3	Infections present and/or treated during this pregnancy for live birth as required by the National US Standards. Note: Genital herpes simplex (SNOMED code 33839006) is only a Michigan state-specific requirement. 	Published	12/12/2017	Initial Import for : CF0E03C9-0960-E211-9A66-001A4BE7FA90
Infections During Pregnancy Fetal Death (NCHS)	PHVS_InfectionsDuringPregnancyFetalDeath_NCHS	2.16.840.1.114222.4.11.7135	2	The value set contains the list of selected infections that the mother had or was treated for during the course of this pregnancy for fetal death, as required by the National US Standards. Note: Genital herpes simplex (SNOMED code 33839006) is only a Michigan state-specific requirement.	Published	12/12/2017	Initial Import for : B357B805-FBA5-E211-A4E6-0017A477041A
Karyotype Down Syndrome (NCHS)	PHVS_KaryotypeDownSyndrome_NCHS	2.16.840.1.114222.4.11.7116	1	The value set contains the list of values that indicate whether the newborn/fetus is confirmed or pending if there is a diagnosis of Down syndrome, Trisomy 21.	Published	06/28/2013	Initial Import for : 9152FAC7-F9A1-E211-89A9-0017A477041A
Karyotype Suspected Chromosomal Disorder (NCHS)	PHVS_KaryotypeSuspectedChromosomalDisorder_NCHS	2.16.840.1.114222.4.11.7115	1	The value set contains the list of values that indicate whether the newborn/fetus is confirmed or pending if there is a diagnosis of suspected chromosomal disorder (may include Trisomy 21).	Published	06/28/2013	Initial Import for : B2714A8E-CCA2-E211-A4E6-0017A477041A
Labor and Delivery Characteristics (NCHS)	PHVS_LaborandDeliveryCharacteristics_NCHS	2.16.840.1.114222.4.11.7117	4	The value set contains the list of options to indicate information about the course of labor and delivery.	Published	03/17/2015	Initial Import for : 5D0631B2-6787-E311-AE2A-0017A477041A
Maternal Morbidities (NCHS)	PHVS_MaternalMorbidities_NCHS	2.16.840.1.114222.4.11.7119	2	The value set contains the list of possible maternal morbidity values when serious complications were experienced by the mother associated with labor and delivery.	Published	03/16/2015	Initial Import for : EF35325E-6D87-E311-AE2A-0017A477041A
Maternal Vital Signs (NCHS)	PHVS_MaternalVitalSigns_NCHS	2.16.840.1.114222.4.11.7209	1	The value set contains the list of vital sign items captured for a mother. Note, LOINC is being used as the primary source for codes within the value set.	Published	03/26/2014	Initial Import for : 11C6A409-D8B4-E311-8837-0017A477041A
Message Error Condition Codes (HL7)	PHVS_MessageErrorConditionCodes_HL7_2x	2.16.840.1.114222.4.11.974	1	Type of error that occurred while processing the message identified in MSA.2	Published	06/14/2018	Initial Load VADS 3.0
