View Name	View Description	View Version	Status Date
FDD Case Notification	The vocabulary used for FDD Case Notification messages to CDC.	8	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Raw Unpasteurized Products (FDD)	PHVS_RawUnpasteurizedProducts_FDD	2.16.840.1.114222.4.11.7632	1	Raw unpasteurized products for FDD MMG	Published	11/16/2017	Raw unpasteurized products for FDD MMG
Recreational Water (FDD)	PHVS_RecreationalWater_FDD	2.16.840.1.114222.4.11.3098	1	Recreational water exposure type answer list	Published	10/22/2008	Initial Load VADS 3.0
Seafood Preparation (FDD)	PHVS_SeafoodPreparation_FDD	2.16.840.1.114222.4.11.7637	2	Seafood preparation answer list for FDD MMG	Published	01/31/2018	v2 added PHC1510	undercooked
PHC1511	fully cooked

Seafood Source (FDD)	PHVS_SeafoodSource_FDD	2.16.840.1.114222.4.11.7638	1	Seafood source answer list for FDD MMG	Published	11/16/2017	Seafood source answer list for FDD MMG
Seafood Type (FDD)	PHVS_SeafoodType_FDD	2.16.840.1.114222.4.11.3100	4	Type of raw seafood answer list	Published	11/08/2018	Removed other from the value set
Sexual Contact (FDD)	PHVS_SexualContact_FDD	2.16.840.1.114222.4.11.7634	1	Sexual contact answer list for FDD MMG	Published	11/16/2017	Sexual contact answer list for FDD MMG
Shellfish Distributed (FDD)	PHVS_ShellfishDistributed_FDD	2.16.840.1.114222.4.11.7639	1	Shellfish distributed answer list for FDD MMG	Published	11/16/2017	Shellfish distributed answer list for FDD MMG
Signs and Symptoms (FDD)	PHVS_SignsSymptoms_FDD	2.16.840.1.114222.4.11.7621	2	FDD MMG Signs and Symptoms	Published	11/16/2017	Initial Import for : E22E8D93-ECCA-E711-ACE2-0017A477041A
Specimen Collection Source (FDD)	PHVS_SpecimenCollectionSource_FDD	2.16.840.1.114222.4.11.7627	3	Specimen collection source answer list for FDD MMG.	Published	03/14/2018	v3
Specimen Site (FDD) 	PHVS_Specimen Site_FDD	2.16.840.1.114222.4.11.7778	1	Site of specimen collection answer list for FDD MMG.	Published	03/09/2018	v1
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Swimming Pool Type (FDD)	PHVS_SwimmingPoolType_FDD	2.16.840.1.114222.4.11.3104	1	Swimming pool types answer list	Published	10/22/2008	Initial Load VADS 3.0
Test Method (FDD)	PHVS_TestMethod_FDD	2.16.840.1.114222.4.11.7623	4	Test method answer list.	Published	10/15/2020	Added Abbott Campylobacter Quik Chek
Test Result (FDD)	PHVS_TestResult_FDD	2.16.840.1.114222.4.11.7626	3	Test result answer list for FDD MMG	Published	11/08/2018	Added Indeterminate (qualifier value) and No growth (qualifier value) to the value set
