Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Type (Brucellosis)	PHVS_SpecimenType_Brucellosis	2.16.840.1.114222.4.11.7969	1	Indicates type of specimen used in selected laboratory test	Published	11/19/2020	V1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
119359002	Bone marrow specimen (specimen)	Bone marrow		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
258450006	Cerebrospinal fluid sample (specimen)	Cerebrospinal fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
430791000124104	Human breast milk specimen (specimen)	Breast milk		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
OTH	other	Other specimen type (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
119364003	Serum specimen (specimen)	Serum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
119371008	Specimen from abscess (specimen)	Abscess		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
119376003	Tissue specimen (specimen)	Tissue		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
258580003	Whole blood sample (specimen)	Whole blood		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
